name,slug,source,page,type,type_code,rarity,tier,attunement,attunement_req,wondrous,weight,value_gp,has_spells,entries_json,srd
Talisman of Ultimate Evil,talisman-of-ultimate-evil,XDMG,315,Wondrous Item,WON,legendary,,1,,1,1,,0,"[""This item symbolizes unrepentant evil. A creature that isn't a Fiend or an Undead that touches the talisman takes {@damage 8d6} Necrotic damage and takes the damage again each time it ends its turn holding or carrying the talisman."", {""type"": ""entries"", ""name"": ""Holy Symbol"", ""entries"": [""You can use the talisman as a Holy Symbol. You gain a +2 bonus to spell attack rolls while you wear or hold it.""]}, {""type"": ""entries"", ""name"": ""Ultimate End"", ""entries"": [""The talisman has 6 charges. While wearing or holding the talisman, you can take a {@action Magic|XPHB} action to expend 1 charge and target one creature you can see on the ground within 120 feet of yourself. A flaming fissure opens under the target, and the target makes a {@dc 20} Dexterity saving throw. If the target is a Celestial, it has {@variantrule Disadvantage|XPHB} on the save. On a failed save, the target falls into the fissure and is destroyed, leaving no remains. On a successful save, the target isn't cast into the fissure but takes {@damage 4d6} Psychic damage from the ordeal. In either case, the fissure then closes, leaving no trace of its existence. When you expend the last charge, the talisman dissolves into foul-smelling slime and is destroyed.""]}]",1
Tent,tent,XPHB,229,Adventuring Gear,G,none,,0,,0,20,2.0,0,"[""A Tent sleeps up to two Small or Medium creatures.""]",1
Thieves' Tools,thieves-tools,XPHB,221,Tools,T,none,,0,,0,1,25.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Pick a lock ({@dc 15}), or disarm a trap ({@dc 15})""]}]}]",1
Thunderous Greatclub,thunderous-greatclub,XDMG,316,Melee Weapon,M,very rare,,1,,0,10,,0,"[""While you are attuned to this magic weapon, your Strength is 20 unless your Strength is already equal to or greater than that score. The weapon deals an extra {@damage 1d8} Thunder damage to any creature it hits and an extra {@damage 3d8} Thunder damage to objects it hits that aren't being worn or carried."", ""The weapon has the following additional properties."", {""type"": ""entries"", ""name"": ""Clap of Thunder"", ""entries"": [""As a {@action Magic|XPHB} action, you can strike the weapon against a hard surface to create a loud clap of thunder audible out to 300 feet. You also create a 30-foot {@variantrule Cone [Area of Effect]|XPHB|Cone} of thunderous energy. Each creature in the {@variantrule Cone [Area of Effect]|XPHB|Cone} must succeed on a {@dc 15} Strength saving throw or have the {@condition Prone|XPHB} condition. Nonmagical objects in the {@variantrule Cone [Area of Effect]|XPHB|Cone} that aren't being worn or carried take {@damage 3d8} Thunder damage.""]}, {""type"": ""entries"", ""name"": ""Earthquake"", ""entries"": [""As a {@action Magic|XPHB} action, you can strike the weapon against the ground to create an intense seismic disturbance in a 50-foot-radius circle centered on the point of impact. Structures in contact with the ground in that area take 50 Bludgeoning damage, and each creature on the ground in that area must succeed on a {@dc 20} Dexterity saving throw or have the {@condition Prone|XPHB} condition. If that creature is also {@status Concentration|XPHB|Concentrating}, it must succeed on a {@dc 20} Constitution saving throw or its {@status Concentration|XPHB} is broken. In addition, you can cause a 30-foot-deep, 10-foot-wide fissure to open up on the ground anywhere in the area. Any creature on a spot where the fissure opens must make a {@dc 20} Dexterity saving throw, falling into the fissure on a failed save or moving with the fissure's edge on a successful one. Any structure on a spot where the fissure opens collapses into the fissure. Once you use this property, it can't be used again until the next dawn.""]}]",1
Tinderbox,tinderbox,XPHB,229,Adventuring Gear,G,none,,0,,0,1,0.5,0,"[""A Tinderbox is a small container holding flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a {@item Candle|XPHB}, {@item Lamp|XPHB}, {@item Hooded Lantern|XPHB|Lantern}, or {@item Torch|XPHB}\u2014or anything else with exposed fuel\u2014takes a {@variantrule Bonus Action|XPHB}. Lighting any other fire takes 1 minute.""]",1
Tome of Clear Thought,tome-of-clear-thought,XDMG,317,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This book contains memory and logic exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Intelligence increases by 2, to a maximum of 30. The manual then loses its magic, but regains it in a century.""]",1
Tome of Leadership and Influence,tome-of-leadership-and-influence,XDMG,317,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This book contains guidelines for influencing and charming others, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Charisma increases by 2, to a maximum of 30. The manual then loses its magic, but regains it in a century.""]",1
Tome of Understanding,tome-of-understanding,XDMG,317,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This book contains intuition and insight exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Wisdom increases by 2, to a maximum of 30. The manual then loses its magic, but regains it in a century.""]",1
Torch,torch,XPHB,229,Adventuring Gear,G,none,,0,,0,1,0.01,0,"[""A Torch burns for 1 hour, casting {@variantrule Bright Light|XPHB} in a 20-foot radius and {@variantrule Dim Light|XPHB} for an additional 20 feet. When you take the {@action Attack|XPHB} action, you can attack with the Torch, using it as a Simple Melee weapon. On a hit, the target takes 1 Fire damage.""]",1
Torpor,torpor,XDMG,91,Adventuring Gear,G,none,,0,,0,,600.0,0,"[""A creature subjected to Torpor poison must succeed on a {@dc 15} Constitution saving throw or have the {@condition Poisoned|XPHB} condition for {@dice 4d6} hours. The creature's {@variantrule Speed|XPHB} is halved while the creature is {@condition Poisoned|XPHB} in this way.""]",1
Traveler's Clothes,traveler-s-clothes,XPHB,225,Adventuring Gear,G,none,,0,,0,4,2.0,0,"[""Traveler's Clothes are resilient garments designed for travel in various environments.""]",1
Trident of Fish Command,trident-of-fish-command,XDMG,317,Melee Weapon,M,uncommon,,1,,0,4,,1,"[""This magic weapon has 3 charges, and it regains {@dice 1d3} expended charges daily at dawn. While you carry it, you can expend 1 charge to cast {@spell Dominate Beast|XPHB} (save {@dc 15}) from it on a Beast that has a {@variantrule Swim Speed|XPHB}.""]",1
Truth Serum,truth-serum,XDMG,91,Adventuring Gear,G,none,,0,,0,,150.0,0,"[""A creature subjected to Truth Serum must succeed on a {@dc 11} Constitution saving throw or have the {@condition Poisoned|XPHB} condition for 1 hour. The {@condition Poisoned|XPHB} creature can't knowingly communicate a lie.""]",1
Universal Solvent,universal-solvent,XDMG,318,Wondrous Item,WON,legendary,,0,,1,,,0,"[""This tube holds milky liquid with a strong alcohol smell. When found, a tube contains {@dice 1d6 + 1} ounces."", ""You can take a {@action Utilize|XPHB} action to pour 1 or more ounces of solvent from the tube onto a surface within reach. Each ounce instantly dissolves up to 1 square foot of adhesive it touches, including Sovereign Glue.""]",1
Vial,vial,XPHB,229,Adventuring Gear,G,none,,0,,0,,1.0,0,"[""A Vial holds up to 4 ounces.""]",1
Wagon,wagon,XPHB,230,Vehicle (Land),VEH,none,,0,,0,400,35.0,0,[],1
Wand of Binding,wand-of-binding,XDMG,318,Wand,WD,rare,,1,,0,1,,1,"[""This wand has 7 charges."", {""type"": ""entries"", ""name"": ""Spells"", ""entries"": [""While holding the wand, you can cast one of the spells (save {@dc 17}) on the following table from it. The table indicates how many charges you must expend to cast the spell."", {""type"": ""table"", ""colStyles"": [""col-10"", ""col-2 text-center""], ""colLabels"": [""Spell"", ""Charge Cost""], ""rows"": [[""{@spell Hold Monster|XPHB}"", ""5""], [""{@spell Hold Person|XPHB}"", ""2""]]}]}, {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Enemy Detection,wand-of-enemy-detection,XDMG,319,Wand,WD,rare,,1,,0,1,,0,"[""This wand has 7 charges. While holding it, you can take a {@action Magic|XPHB} action to expend 1 charge. For 1 minute, you know the direction of the nearest creature {@variantrule Hostile [Attitude]|XPHB|Hostile} to you within 60 feet, but not its distance from you. The wand can sense the presence of {@variantrule Hostile [Attitude]|XPHB|Hostile} creatures that are {@condition Invisible|XPHB}, ethereal, disguised, or hidden, as well as those in plain sight. The effect ends if you stop holding the wand."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Fear,wand-of-fear,XDMG,319,Wand,WD,rare,,1,,0,1,,1,"[""This wand has 7 charges."", {""type"": ""entries"", ""name"": ""Spells"", ""entries"": [""While holding the wand, you can cast one of the spells (save {@dc 15}) on the following table from it. The table indicates how many charges you must expend to cast the spell."", {""type"": ""table"", ""colStyles"": [""col-10"", ""col-2 text-center""], ""colLabels"": [""Spell"", ""Charge Cost""], ""rows"": [[""{@spell Command|XPHB} (\""flee\"" or \""grovel\"" only)"", ""1""], [""{@spell Fear|XPHB} (60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone})"", ""3""]]}]}, {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Fireballs,wand-of-fireballs,XDMG,319,Wand,WD,rare,,1,by a spellcaster,0,1,,1,"[""This wand has 7 charges. While holding it, you can expend no more than 3 charges to cast {@spell Fireball|XPHB} (save {@dc 15}) from it. For 1 charge, you cast the level 3 version of the spell. You can increase the spell's level by 1 for each additional charge you expend."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Lightning Bolts,wand-of-lightning-bolts,XDMG,320,Wand,WD,rare,,1,by a spellcaster,0,1,,1,"[""This wand has 7 charges. While holding it, you can expend no more than 3 charges to cast {@spell Lightning Bolt|XPHB} (save {@dc 15}) from it. For 1 charge, you cast the level 3 version of the spell. You can increase the spell's level by 1 for each additional charge you expend."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Magic Detection,wand-of-magic-detection,XDMG,320,Wand,WD,uncommon,,0,,0,1,,1,"[""This wand has 3 charges. While holding it, you can expend 1 charge to cast {@spell Detect Magic|XPHB} from it. The wand regains {@dice 1d3} expended charges daily at dawn.""]",1
Wand of Magic Missiles,wand-of-magic-missiles,XDMG,320,Wand,WD,uncommon,,0,,0,1,,1,"[""This wand has 7 charges. While holding it, you can expend no more than 3 charges to cast {@spell Magic Missile|XPHB} from it. For 1 charge, you cast the level 1 version of the spell. You can increase the spell's level by 1 for each additional charge you expend."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Paralysis,wand-of-paralysis,XDMG,321,Wand,WD,rare,,1,by a spellcaster,0,1,,0,"[""This wand has 7 charges. While holding it, you can take a {@action Magic|XPHB} action to expend 1 charge to cause a thin blue ray to streak from the tip toward a creature you can see within 60 feet of yourself. The target must succeed on a {@dc 15} Constitution saving throw or have the {@condition Paralyzed|XPHB} condition for 1 minute. At the end of each of the target's turns, it repeats the save, ending the effect on itself on a success."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Polymorph,wand-of-polymorph,XDMG,321,Wand,WD,very rare,,1,by a spellcaster,0,1,,1,"[""This wand has 7 charges. While holding it, you can expend 1 charge to cast {@spell Polymorph|XPHB} (save {@dc 15}) from it."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Secrets,wand-of-secrets,XDMG,322,Wand,WD,uncommon,,0,,0,1,,0,"[""This wand has 3 charges and regains {@dice 1d3} expended charges daily at dawn. While holding it, you can take a {@action Magic|XPHB} action to expend 1 charge, and if a secret door or trap is within 60 feet of you, the wand pulses and points at the one nearest to you.""]",1
Wand of Web,wand-of-web,XDMG,322,Wand,WD,uncommon,,1,by a spellcaster,0,1,,1,"[""This wand has 7 charges. While holding it, you can expend 1 charge to cast {@spell Web|XPHB} (save {@dc 13}) from it."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into ashes and is destroyed.""]}]",1
Wand of Wonder,wand-of-wonder,XDMG,322,Wand,WD,rare,,1,,0,1,,1,"[""This wand has 7 charges. While holding it, you can take a {@action Magic|XPHB} action to expend 1 charge while choosing a point within 120 feet of yourself. That location becomes the point of origin of a spell or other magical effect determined by rolling on the Wand of Wonder Effects table. Spells cast from the wand have a save DC of 15. If a spell's maximum range is normally less than 120 feet, it becomes 120 feet when cast from the wand. If an effect has multiple possible subjects, the DM determines randomly which among them are affected."", {""type"": ""entries"", ""name"": ""Regaining Charges"", ""entries"": [""The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll {@dice 1d20}. On a 1, the wand crumbles into dust and is destroyed.""]}, {""type"": ""table"", ""caption"": ""Wand of Wonder Effects"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d100"", ""Effect""], ""rows"": [[""01-20"", ""You cast a spell originating from the chosen point. Roll {@dice 1d10} to determine the spell: on a {@b 1-2}, {@spell Darkness|XPHB}; on a {@b 3-4}, {@spell Faerie Fire|XPHB}; on a {@b 5-6}, {@spell Fireball|XPHB}; on a {@b 7-8}, {@spell Slow|XPHB}; on a {@b 9-10}, {@spell Stinking Cloud|XPHB}.""], [""21-25"", ""Nothing happens at the chosen point of origin. Instead, you have the {@condition Stunned|XPHB} condition until the start of your next turn, believing something awesome just happened.""], [""26-30"", ""You cast {@spell Gust of Wind|XPHB}. The {@variantrule Line [Area of Effect]|XPHB|Line} created by the spell extends from you to the chosen point of origin.""], [""31-35"", ""Nothing happens at the chosen point of origin. Instead, you take {@damage 1d6} Psychic damage.""], [""36-40"", ""Heavy rain falls for 1 minute in a 120-foot-high, 60-foot-radius {@variantrule Cylinder [Area of Effect]|XPHB|Cylinder} centered on the chosen point of origin. During that time, the area of effect is {@variantrule Lightly Obscured|XPHB}.""], [""41-45"", ""A cloud of 600 oversized butterflies fills a 60-foot-high, 30-foot-radius {@variantrule Cylinder [Area of Effect]|XPHB|Cylinder} centered on the chosen point of origin. The butterflies remain for 10 minutes, during which time the area of effect is {@variantrule Heavily Obscured|XPHB}.""], [""46-50"", ""You cast {@spell Lightning Bolt|XPHB}. The {@variantrule Line [Area of Effect]|XPHB|Line} created by the spell extends from you to the chosen point of origin.""], [""51-55"", ""The creature closest to the chosen point of origin is enlarged as if you had cast {@spell Enlarge/Reduce|XPHB} on it. If the target isn't you and can't be affected by that spell, you become the target instead.""], [""56-60"", ""A magically formed creature appears in an unoccupied space as close to the chosen point of origin as possible. The creature isn't under your control, acts as it normally would, and disappears after 1 hour or when it drops to 0 {@variantrule Hit Points|XPHB}. Roll {@dice 1d4} to determine which creature appears. On a {@b 1}, a {@creature Rhinoceros|XMM} appears; on a {@b 2}, an {@creature Elephant|XMM} appears; and on a {@b 3-4}, a {@creature Rat|XMM} appears.""], [""61-64"", ""Grass covers a 60-foot-radius circle of ground, with the center of that circle as close to the chosen point of origin as possible. Grass that's already there grows to ten times its normal size and remains overgrown for 1 minute.""], [""65-68"", ""An object of the DM's choice disappears into the Ethereal Plane. The object must be neither worn nor carried, within 120 feet of the chosen point of origin, and no larger than 10 feet in any dimension. If there are no such objects in range, nothing happens.""], [""69-72"", ""Nothing happens at the chosen point of origin. Instead, you shrink as if you had cast {@spell Enlarge/Reduce|XPHB} on yourself and remain in that state for 1 minute.""], [""73-77"", ""Leaves grow from the creature nearest to the chosen point of origin. Unless they are picked off, the leaves turn brown and fall off after 24 hours.""], [""78-82"", ""Nothing happens at the chosen point of origin. Instead, a burst of colorful, shimmering light extends from you in a 30-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation}. Each creature in the area must succeed on a {@dc 15} Constitution saving throw or have the {@condition Blinded|XPHB} condition for 1 minute. A creature repeats the save at the end of each of its turns, ending the effect on itself on a success.""], [""83-87"", ""Nothing happens at the chosen point of origin. Instead, you cast {@spell Invisibility|XPHB} on yourself.""], [""88-92"", ""Nothing happens at the chosen point of origin. Instead, a stream of {@dice 1d4 \u00d7 10} gems, each worth 1 GP, shoots from the wand's tip in a {@variantrule Line [Area of Effect]|XPHB|Line} 30 feet long and 5 feet wide toward the chosen point of origin. Each gem deals 1 Bludgeoning damage, and the total damage of the gems is divided equally among all creatures in the {@variantrule Line [Area of Effect]|XPHB|Line}.""], [""93-97"", ""You cast {@spell Polymorph|XPHB}, targeting the creature closest to the chosen point of origin. Roll {@dice 1d4} to determine the target's new form. On a {@b 1}, the new form is a {@creature Black Bear|XMM}; on a {@b 2}, the new form is a {@creature Giant Wasp|XMM}; on a {@b 3-4}, the new form is a {@creature Frog|XMM}.""], [""98-00"", ""The creature closest to the chosen point of origin makes a {@dc 15} Constitution saving throw. On a failed save, the creature has the {@condition Restrained|XPHB} condition and begins to turn to stone. While {@condition Restrained|XPHB} in this way, the creature repeats the save at the end of its next turn. On a successful save, the effect ends. On a failed save, the creature has the {@condition Petrified|XPHB} condition instead of the {@condition Restrained|XPHB} condition. The petrification lasts until the creature is freed by the {@spell Greater Restoration|XPHB} spell or similar magic.""]], ""data"": {""genTables"": {""tableInclude"": true}}}]",1
Warhorse,warhorse,XPHB,229,Mount,MNT,none,,0,,0,,400.0,0,[],1
Warship,warship,XPHB,230,Ship,SHP,none,,0,,0,,25000.0,0,[],1
Waterskin,waterskin,XPHB,229,Adventuring Gear,G,none,,0,,0,5,0.2,0,"[""A Waterskin holds up to 4 pints. If you don't drink sufficient water, you risk dehydration.""]",1
Well of Many Worlds,well-of-many-worlds,XDMG,324,Wondrous Item,WON,legendary,,0,,1,,,0,"[""This fine black cloth, soft as silk, is folded up to the dimensions of a handkerchief. It unfolds into a circular sheet 6 feet in diameter."", ""You can take a {@action Magic|XPHB} action to unfold the Well of Many Worlds and place it on a solid surface, whereupon it forms a two-way, 6-foot-diameter, circular portal to another world or plane of existence. Each time the item opens a portal, the DM decides where it leads. The portal remains open until a creature within 5 feet of it takes a {@action Magic|XPHB} action to close it by taking hold of the edges of the cloth and folding it up."", ""Once the Well of Many Worlds has opened a portal, it can't do so again for {@dice 1d8} hours.""]",1
Wheat,wheat,XDMG,213,Trade Good,TG,none,,0,,0,1,0.01,0,[],1
White Dragon Scale Mail,white-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
Wind Fan,wind-fan,XDMG,213,Wondrous Item,WON,uncommon,,0,,1,,,1,"[""While holding this fan, you can cast {@spell Gust of Wind|XPHB} (save {@dc 13}) from it. Each subsequent time the fan is used before the next dawn, it has a cumulative {@chance 20} chance of not working; if the fan fails to work, it tears into useless, nonmagical tatters.""]",1
Winged Boots,winged-boots,XDMG,325,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""These boots have 4 charges and regain {@dice 1d4} expended charges daily at dawn. While wearing the boots, you can take a {@action Magic|XPHB} action to expend 1 charge, gaining a {@variantrule Fly Speed|XPHB} of 30 feet for 1 hour. If you are flying when the duration expires, you descend at a rate of 30 feet per round until you land.""]",1
Wings of Flying,wings-of-flying,XDMG,324,Wondrous Item,WON,rare,,1,,1,,,0,"[""While wearing this cloak, you can take a {@action Magic|XPHB} action to turn the cloak into a pair of wings on your back. The wings lasts for 1 hour or until you end the effect early as a {@action Magic|XPHB} action. The wings give you a {@variantrule Fly Speed|XPHB} of 60 feet. If you are aloft when the wings disappear, you fall. When the wings disappear, you can't use them again for {@dice 1d12} hours.""]",1
Wyvern Poison,wyvern-poison,XDMG,91,Adventuring Gear,G,none,,0,,0,,1200.0,0,"[""A creature subjected to Wyvern Poison makes a {@dc 14} Constitution saving throw, taking 24 ({@damage 7d6}) Poison damage on a failed save or half as much damage on a successful one.""]",1
Yew Wand,yew-wand,XPHB,225,Spellcasting Focus,SCF,none,,0,,0,1,10.0,0,[],1
Alchemist's Supplies,alchemist-s-supplies,XPHB,220,Artisan's Tools,AT,none,,0,,0,8,50.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Identify a substance ({@dc 15}), or start a fire ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Acid|XPHB}, {@item Alchemist's Fire|XPHB}, {@item Component Pouch|XPHB}, {@item Oil|XPHB}, {@item Paper|XPHB}, {@item Perfume|XPHB}""]}]}]",1
Arrow,arrow,XPHB,222,Ammunition,A,none,,0,,0,0.05,0.05,0,"[""Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Arrows are typically stored in a {@item Quiver|XPHB} (bought separately).""]",1
Arrows (20),arrows-20,XPHB,222,Ammunition,A,none,,0,,0,1,1.0,0,"[""Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Arrows are typically stored in a {@item Quiver|XPHB} (bought separately).""]",1
Bagpipes,bagpipes,XPHB,221,Instrument,INS,none,,0,,0,6,30.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",1
Battleaxe,battleaxe,XPHB,215,Melee Weapon,M,none,,0,,0,4,10.0,0,[],1
Blowgun,blowgun,XPHB,215,Ranged Weapon,R,none,,0,,0,1,10.0,0,[],1
Bolt,bolt,XPHB,222,Ammunition,A,none,,0,,0,0.075,0.05,0,"[""Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Bolts are typically stored in a {@item Crossbow Bolt Case|XPHB} (bought separately).""]",1
Bolts (20),bolts-20,XPHB,222,Ammunition,A,none,,0,,0,1.5,1.0,0,"[""Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Bolts are typically stored in a {@item Crossbow Bolt Case|XPHB} (bought separately).""]",1
Breastplate,breastplate,XPHB,219,Medium Armor,MA,none,,0,,0,20,400.0,0,[],1
Brewer's Supplies,brewer-s-supplies,XPHB,220,Artisan's Tools,AT,none,,0,,0,9,20.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Detect poisoned drink ({@dc 15}), or identify alcohol ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Antitoxin|XPHB}""]}]}]",1
Calligrapher's Supplies,calligrapher-s-supplies,XPHB,220,Artisan's Tools,AT,none,,0,,0,5,10.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Write text with impressive flourishes that guard against forgery ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Ink|XPHB}, {@item Spell Scroll|XDMG}""]}]}]",1
Carpenter's Tools,carpenter-s-tools,XPHB,220,Artisan's Tools,AT,none,,0,,0,6,8.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Strength""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Seal or pry open a door or container ({@dc 20})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Club|XPHB}, {@item Greatclub|XPHB}, {@item Quarterstaff|XPHB}, {@item Barrel|XPHB}, {@item Chest|XPHB}, {@item Ladder|XPHB}, {@item Pole|XPHB}, {@item Portable Ram|XPHB}, {@item Torch|XPHB}""]}]}]",1
Cartographer's Tools,cartographer-s-tools,XPHB,220,Artisan's Tools,AT,none,,0,,0,6,15.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Draft a map of a small area ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Map|XPHB}""]}]}]",1
Chain Mail,chain-mail,XPHB,219,Heavy Armor,HA,none,,0,,0,55,75.0,0,[],1
Chain Shirt,chain-shirt,XPHB,219,Medium Armor,MA,none,,0,,0,20,50.0,0,[],1
Club,club,XPHB,215,Melee Weapon,M,none,,0,,0,2,0.1,0,[],1
Cobbler's Tools,cobbler-s-tools,XPHB,220,Artisan's Tools,AT,none,,0,,0,5,5.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Modify footwear to give {@variantrule Advantage|XPHB} on the wearer's next Dexterity ({@skill Acrobatics|XPHB}) check ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Climber's Kit|XPHB}""]}]}]",1
Cook's Utensils,cook-s-utensils,XPHB,220,Artisan's Tools,AT,none,,0,,0,8,1.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Improve food's flavor ({@dc 10}), or detect spoiled or poisoned food ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Rations|XPHB}""]}]}]",1
Crystal,crystal,XPHB,224,Spellcasting Focus,SCF,none,,0,,0,1,10.0,0,[],1
Dagger,dagger,XPHB,215,Melee Weapon,M,none,,0,,0,1,2.0,0,[],1
Dart,dart,XPHB,215,Ranged Weapon,R,none,,0,,0,0.25,0.05,0,[],1
